
                                             CodeAnalysis
    ==============================================================================================
     Mon Feb  6 23:35:00 2017
     Path: "C:\Users\Varun\Documents\Visual Studio 2015\Projects\Remote_TestHarness"
     Args: *.h, *.cpp, *.cs, Remote_TestHarness.sln, Remote_TestHarness.sln, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         IStreamService.cs   namespace                 Remote_TestHarness      41      20       5
         IStreamService.cs   interface                     IStreamService      44       6       1
         IStreamService.cs       class                FileTransferMessage      53       8       3
         IStreamService.cs    function                      MessageHeader      54       2       1
         IStreamService.cs    function                  MessageBodyMember      57       2       1
         IStreamService.cs   namespace                 Remote_TestHarness      41      20       5
         IStreamService.cs   interface                     IStreamService      44       6       1
         IStreamService.cs       class                FileTransferMessage      53       8       3
         IStreamService.cs    function                      MessageHeader      54       2       1
         IStreamService.cs    function                  MessageBodyMember      57       2       1
         IStreamService.cs   namespace                 Remote_TestHarness      41      20       5
         IStreamService.cs   interface                     IStreamService      44       6       1
         IStreamService.cs       class                FileTransferMessage      53       8       3
         IStreamService.cs    function                      MessageHeader      54       2       1
         IStreamService.cs    function                  MessageBodyMember      57       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  ITest.cs   namespace                 Remote_TestHarness      45      72      20
                  ITest.cs   interface                          ICallback      50       3       1
                  ITest.cs   interface                       ITestHarness      54       5       1
                  ITest.cs   interface                              ITest      63       4       1
                  ITest.cs   interface                        IRepository      72       5       1
                  ITest.cs   interface                            IClient      82       4       1
                  ITest.cs   interface                       ILoadAndTest      90       5       1
                  ITest.cs   interface                          ITestInfo      96       4       3
                  ITest.cs   interface                       IRequestInfo     101       3       2
                  ITest.cs   interface                        ITestResult     105       5       4
                  ITest.cs   interface                       ITestResults     111       5       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            LoadAndTest.cs   namespace                 Remote_TestHarness      46     159      32
            LoadAndTest.cs       class                        LoadAndTest      48     157      31
            LoadAndTest.cs       class                         TestResult      57       6       4
            LoadAndTest.cs       class                        TestResults      64       6       4
            LoadAndTest.cs    function                        LoadAndTest      74       3       1
            LoadAndTest.cs    function                           loadPath      78       4       1
            LoadAndTest.cs    function                               test      85     104      18
            LoadAndTest.cs    function                        setCallback     192       3       1
            LoadAndTest.cs    function                               Main     198       4       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         MainWindow.g.i.cs   namespace                 Remote_TestHarness      34     205       6
         MainWindow.g.i.cs       class                         MainWindow      40     199       5
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     145      13       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     165      72       2
         MainWindow.g.i.cs   namespace                 Remote_TestHarness      34     155       6
         MainWindow.g.i.cs       class                         MainWindow      40     149       5
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     113      13       2
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     133      54       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
        MainWindow.xaml.cs   namespace                 Remote_TestHarness      51     388      53
        MainWindow.xaml.cs       class                         MainWindow      56     383      52
        MainWindow.xaml.cs    function                         MainWindow      74       7       1
        MainWindow.xaml.cs    function                   LoadDropdownMenu      83       7       1
        MainWindow.xaml.cs    function                     Request1_Click      92      10       1
        MainWindow.xaml.cs    function                     Request2_Click     104      10       1
        MainWindow.xaml.cs    function                 ListenButton_Click     116      10       1
        MainWindow.xaml.cs    function                  SendMessage_Click     128      23       1
        MainWindow.xaml.cs    function                     displayMessage     153      35       6
        MainWindow.xaml.cs    function                           ToString     159       1       1
        MainWindow.xaml.cs    function                        MakeMessage     190       9       1
        MainWindow.xaml.cs    function                    MakeRepoMessage     201       9       1
        MainWindow.xaml.cs    function                          SendFiles     212      30       5
        MainWindow.xaml.cs    function               CreateServiceChannel     244      12       1
        MainWindow.xaml.cs    function                         UploadFile     258      24       4
        MainWindow.xaml.cs    function                              using     266       6       1
        MainWindow.xaml.cs    function                      rcvThreadProc     283      11       2
        MainWindow.xaml.cs    function                OnNewMessageHandler     296      74      12
        MainWindow.xaml.cs    function                           ToString     304       1       1
        MainWindow.xaml.cs    function                           ToString     318       1       1
        MainWindow.xaml.cs    function                           download     372      34       5
        MainWindow.xaml.cs    function                              using     386      11       2
        MainWindow.xaml.cs    function                  QueryButton_Click     408      29       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            MessageTest.cs   namespace                 Remote_TestHarness      46      88      18
            MessageTest.cs       class                        TestElement      48      30      10
            MessageTest.cs    function                        TestElement      52       2       1
            MessageTest.cs    function                        TestElement      55       3       1
            MessageTest.cs    function                          addDriver      59       3       1
            MessageTest.cs    function                            addCode      63       3       1
            MessageTest.cs    function                           ToString      67       9       2
            MessageTest.cs       class                        TestRequest      78      56       7
            MessageTest.cs    function                        TestRequest      78       2       1
            MessageTest.cs    function                           ToString      84       8       2
            MessageTest.cs    function                               Main      95      36       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Messages.cs   namespace                 Remote_TestHarness      44     132      25
               Messages.cs       class                           Messages      47      65      14
               Messages.cs    function                           Messages      56       3       1
               Messages.cs    function                        MakeMessage      61      17       2
               Messages.cs    function                           ToString      84      10       1
               Messages.cs    function                               copy      95      10       1
               Messages.cs    function                               Main     107       3       1
               Messages.cs       class                         extMethods     113      63      10
               Messages.cs    function                            showMsg     115      19       5
               Messages.cs    function                           ToString     116       1       1
               Messages.cs    function                              shift     136      12       2
               Messages.cs    function                           showThis     150       8       1
               Messages.cs    function                               Main     161      12       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Program.cs   namespace                 Remote_TestHarness       8       8       3
                Program.cs       class                            Program      10       6       2
                Program.cs    function                               Main      12       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             Repository.cs   namespace                 Remote_TestHarness      46     184      27
             Repository.cs       class                         Repository      48     182      26
             Repository.cs    function                         Repository      62       4       1
             Repository.cs    function                          queryLogs      68      17       3
             Repository.cs    function                      rcvThreadProc      88      12       2
             Repository.cs    function                           getFiles     104      21       5
             Repository.cs    function                              Split     104       1       1
             Repository.cs    function                            sendLog     127      19       3
             Repository.cs    function                         upLoadFile     148      27       3
             Repository.cs    function                              using     158      11       2
             Repository.cs    function                       downLoadFile     177      16       2
             Repository.cs    function               CreateServiceChannel     194      11       1
